Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.47 uF,
C2,0805,1,33 uF,
C3,0603,1,10uF,
"H1, H2, H3, H4, H5",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,5,MountingHole,
J1,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"R1, R2, R3",0603,3,1K,
"R4, R5, R6, R7",0603,4,20K,
R8,0603,1,10k,
R9,0603,1,33k,
U1,RFM69HCW_Breakout,1,~,
"U10, U11, U12, U9",PG-TO220-3_INF,4,IRF4905PBF,
U2,MODULE_ESP32-DEVKITC,1,ESP32-DEVKITC,
U3,LM3940IT,1,LM3940IT-3.3/NOPB,
"U4, U5, U6",TLC5916IN,3,TLC5916IN,
"U7, U8",Seven_Segment_Display,2,~,
