Designator,Mid X,Mid Y,Rotation,Layer
C1,179.324,-124.1055,270.0,top
C2,171.996481,-126.618501,90.0,top
C3,182.0,-116.8,90.0,top
J1,184.15,-126.492,0.0,top
R1,178.4115,-78.232,0.0,top
R2,118.11,-100.9885,90.0,top
R3,118.11,-71.2705,90.0,top
R4,165.2505,-86.614,180.0,top
R5,165.2505,-100.076,180.0,top
R6,173.3785,-86.614,0.0,top
R7,173.3315,-100.076,0.0,top
R8,184.2,-121.6,90.0,top
R9,184.2,-118.0,90.0,top
U1,173.99,-58.42,270.0,top
U10,172.466,-82.804,90.0,top
U11,164.338,-96.266,90.0,top
U12,172.466,-96.266,90.0,top
U2,128.778,-117.348,270.0,top
U3,176.276,-127.762,270.0,top
U4,181.704,-89.154,0.0,top
U5,129.032,-97.884,90.0,top
U6,129.032,-68.232,90.0,top
U7,122.682,-60.96,90.0,top
U8,122.682,-90.678,90.0,top
U9,164.338,-82.804,90.0,top
