Designator,Mid X,Mid Y,Rotation,Layer
BT1,-148.59,-99.06,180,bottom
BT2,-156.845,-99.06,180,bottom
D1,168.288605,-85.725,180,top
D2,148.59,-92.075,180,top
D3,156.845,-92.075,0,top
J1,167.780605,-100.981317,90,top
J2,124.19,-67.22,180,top
J3,172.72,-64.77,180,top
J4,172.72,-125.095,0,top
Q1,174.244,-118.872,-90,top
Q2,171.196,-71.12,90,top
R1,171.45,-85.741317,180,top
R2,164.283366,-97.533898,180,top
R5,164.275,-96.012,0,top
R6,164.275,-92.964,180,top
R7,164.275,-99.06,0,top
R8,164.275,-100.584,180,top
R9,164.275,-94.488,180,top
R10,164.275,-103.632,0,top
R11,164.275,-102.108,180,top
S1,145.943176,-81.059176,180,top
S2,145.943058,-70.888941,180,top
S3,145.979176,-60.76247,180,top
