Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,0,N
0,-82.48m,,,,
0.001,-75.57m,,,,
0.002,-82.48m,,,,
0.003,-89.38m,,,,
0.004,-96.28m,,,,
0.005,-75.57m,,,,
0.006,-82.48m,,,,
0.007,-85.93m,,,,
0.008,-85.93m,,,,
0.009,-89.38m,,,,
0.01,-82.48m,,,,
0.011,-75.57m,,,,
0.012,-72.12m,,,,
0.013,-82.48m,,,,
0.014,-79.03m,,,,
0.015,-79.03m,,,,
0.016,-85.93m,,,,
0.017,-82.48m,,,,
0.018,-89.38m,,,,
0.019,-75.57m,,,,
0.02,-79.03m,,,,
0.021,-89.38m,,,,
0.022,-79.03m,,,,
0.023,-92.83m,,,,
0.024,-85.93m,,,,
0.025,-79.03m,,,,
0.026,-82.48m,,,,
0.027,-75.57m,,,,
0.028,-82.48m,,,,
0.029,-85.93m,,,,
0.03,-85.93m,,,,
0.031,-85.93m,,,,
0.032,-79.03m,,,,
0.033,-75.57m,,,,
0.034,-89.38m,,,,
0.035,-82.48m,,,,
0.036,-79.03m,,,,
0.037,-82.48m,,,,
0.038,-79.03m,,,,
0.039,-82.48m,,,,
0.04,-82.48m,,,,
0.041,-79.03m,,,,
0.042,-89.38m,,,,
0.043,-89.38m,,,,
0.044,-89.38m,,,,
0.045,-72.12m,,,,
0.046,-82.48m,,,,
0.047,-75.57m,,,,
0.048,-79.03m,,,,
0.049,-82.48m,,,,
0.05,-85.93m,,,,
0.051,-82.48m,,,,
0.052,-82.48m,,,,
0.053,-79.03m,,,,
0.054,-79.03m,,,,
0.055,-82.48m,,,,
0.056,-82.48m,,,,
0.057,-79.03m,,,,
0.058,-75.57m,,,,
0.059,-85.93m,,,,
0.06,-82.48m,,,,
0.061,-79.03m,,,,
0.062,-85.93m,,,,
0.063,-79.03m,,,,
0.064,-92.83m,,,,
0.065,-85.93m,,,,
0.066,-75.57m,,,,
0.067,-79.03m,,,,
0.068,-89.38m,,,,
0.069,-79.03m,,,,
0.07,-79.03m,,,,
0.071,-96.28m,,,,
0.072,-89.38m,,,,
0.073,-82.48m,,,,
0.074,-82.48m,,,,
0.075,-89.38m,,,,
0.076,-85.93m,,,,
0.077,-82.48m,,,,
0.078,-79.03m,,,,
0.079,-89.38m,,,,
0.08,-82.48m,,,,
0.081,-82.48m,,,,
0.082,-79.03m,,,,
0.083,-85.93m,,,,
0.084,-79.03m,,,,
0.085,-82.48m,,,,
0.086,-79.03m,,,,
0.087,-79.03m,,,,
0.088,-79.03m,,,,
0.089,-79.03m,,,,
0.09,-89.38m,,,,
0.091,-79.03m,,,,
0.092,-79.03m,,,,
0.093,-79.03m,,,,
0.094,-82.48m,,,,
0.095,-79.03m,,,,
0.096,-82.48m,,,,
0.097,-89.38m,,,,
0.098,-85.93m,,,,
0.099,-85.93m,,,,
0.1,-79.03m,,,,
0.101,-85.93m,,,,
0.102,-72.12m,,,,
0.103,-79.03m,,,,
0.104,-82.48m,,,,
0.105,-79.03m,,,,
0.106,-85.93m,,,,
0.107,-82.48m,,,,
0.108,-82.48m,,,,
0.109,-79.03m,,,,
0.11,-72.12m,,,,
0.111,-85.93m,,,,
0.112,-82.48m,,,,
0.113,-82.48m,,,,
0.114,-79.03m,,,,
0.115,-79.03m,,,,
0.116,-85.93m,,,,
0.117,-85.93m,,,,
0.118,-79.03m,,,,
0.119,-75.57m,,,,
0.12,-79.03m,,,,
0.121,-85.93m,,,,
0.122,-85.93m,,,,
0.123,-89.38m,,,,
0.124,-75.57m,,,,
0.125,-82.48m,,,,
0.126,-75.57m,,,,
0.127,-92.83m,,,,
0.128,-85.93m,,,,
0.129,-89.38m,,,,
0.13,-79.03m,,,,
0.131,-82.48m,,,,
0.132,-85.93m,,,,
0.133,-89.38m,,,,
0.134,-89.38m,,,,
0.135,-82.48m,,,,
0.136,-79.03m,,,,
0.137,-85.93m,,,,
0.138,-79.03m,,,,
0.139,-82.48m,,,,
0.14,-85.93m,,,,
0.141,-82.48m,,,,
0.142,-75.57m,,,,
0.143,-89.38m,,,,
0.144,-85.93m,,,,
0.145,-75.57m,,,,
0.146,-85.93m,,,,
0.147,-82.48m,,,,
0.148,-89.38m,,,,
0.149,-82.48m,,,,
0.15,-85.93m,,,,
0.151,-82.48m,,,,
0.152,-85.93m,,,,
0.153,-72.12m,,,,
0.154,-85.93m,,,,
0.155,-82.48m,,,,
0.156,-82.48m,,,,
0.157,-82.48m,,,,
0.158,-75.57m,,,,
0.159,-92.83m,,,,
0.16,-85.93m,,,,
0.161,-82.48m,,,,
0.162,-79.03m,,,,
0.163,-85.93m,,,,
0.164,-85.93m,,,,
0.165,-79.03m,,,,
0.166,-82.48m,,,,
0.167,-79.03m,,,,
0.168,-79.03m,,,,
0.169,-79.03m,,,,
0.17,-75.57m,,,,
0.171,-82.48m,,,,
0.172,-75.57m,,,,
0.173,-79.03m,,,,
0.174,-75.57m,,,,
0.175,-82.48m,,,,
0.176,-72.12m,,,,
0.177,-89.38m,,,,
0.178,-82.48m,,,,
0.179,-82.48m,,,,
0.18,-85.93m,,,,
0.181,-75.57m,,,,
0.182,-72.12m,,,,
0.183,-79.03m,,,,
0.184,-89.38m,,,,
0.185,-75.57m,,,,
0.186,-79.03m,,,,
0.187,-79.03m,,,,
0.188,-85.93m,,,,
0.189,-82.48m,,,,
0.19,-79.03m,,,,
0.191,-79.03m,,,,
0.192,-85.93m,,,,
0.193,-89.38m,,,,
0.194,-75.57m,,,,
0.195,-82.48m,,,,
0.196,-85.93m,,,,
0.197,-92.83m,,,,
0.198,-72.12m,,,,
0.199,-85.93m,,,,
0.2,-82.48m,,,,
0.201,-79.03m,,,,
0.202,-89.38m,,,,
0.203,-85.93m,,,,
0.204,-85.93m,,,,
0.205,-85.93m,,,,
0.206,-89.38m,,,,
0.207,-75.57m,,,,
0.208,-75.57m,,,,
0.209,-85.93m,,,,
0.21,-75.57m,,,,
0.211,-85.93m,,,,
0.212,-89.38m,,,,
0.213,-89.38m,,,,
0.214,-89.38m,,,,
0.215,-79.03m,,,,
0.216,-79.03m,,,,
0.217,-85.93m,,,,
0.218,-75.57m,,,,
0.219,-79.03m,,,,
0.22,-89.38m,,,,
0.221,-82.48m,,,,
0.222,-82.48m,,,,
0.223,-85.93m,,,,
