Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1600N
0,673.4m,,,
0.001,676.9m,,,
0.002,673.4m,,,
0.003,676.9m,,,
0.004,670m,,,
0.005,687.2m,,,
0.006,673.4m,,,
0.007,680.3m,,,
0.008,680.3m,,,
0.009,683.8m,,,
0.01,680.3m,,,
0.011,683.8m,,,
0.012,676.9m,,,
0.013,683.8m,,,
0.014,676.9m,,,
0.015,687.2m,,,
0.016,673.4m,,,
0.017,683.8m,,,
0.018,673.4m,,,
0.019,680.3m,,,
0.02,683.8m,,,
0.021,683.8m,,,
0.022,676.9m,,,
0.023,687.2m,,,
0.024,687.2m,,,
0.025,687.2m,,,
0.026,673.4m,,,
0.027,687.2m,,,
0.028,683.8m,,,
0.029,683.8m,,,
0.03,683.8m,,,
0.031,676.9m,,,
0.032,683.8m,,,
0.033,680.3m,,,
0.034,676.9m,,,
0.035,683.8m,,,
0.036,680.3m,,,
0.037,683.8m,,,
0.038,680.3m,,,
0.039,690.7m,,,
0.04,687.2m,,,
0.041,680.3m,,,
0.042,680.3m,,,
0.043,683.8m,,,
0.044,687.2m,,,
0.045,680.3m,,,
0.046,687.2m,,,
0.047,683.8m,,,
0.048,680.3m,,,
0.049,680.3m,,,
0.05,683.8m,,,
0.051,680.3m,,,
0.052,683.8m,,,
0.053,683.8m,,,
0.054,683.8m,,,
0.055,673.4m,,,
0.056,680.3m,,,
0.057,680.3m,,,
0.058,676.9m,,,
0.059,680.3m,,,
0.06,676.9m,,,
0.061,680.3m,,,
0.062,683.8m,,,
0.063,680.3m,,,
0.064,673.4m,,,
0.065,676.9m,,,
0.066,680.3m,,,
0.067,683.8m,,,
0.068,676.9m,,,
0.069,673.4m,,,
0.07,673.4m,,,
0.071,687.2m,,,
0.072,687.2m,,,
0.073,673.4m,,,
0.074,676.9m,,,
0.075,680.3m,,,
0.076,680.3m,,,
0.077,683.8m,,,
0.078,676.9m,,,
0.079,670m,,,
0.08,680.3m,,,
0.081,680.3m,,,
0.082,670m,,,
0.083,680.3m,,,
0.084,673.4m,,,
0.085,673.4m,,,
0.086,676.9m,,,
0.087,680.3m,,,
0.088,680.3m,,,
0.089,683.8m,,,
0.09,687.2m,,,
0.091,683.8m,,,
0.092,680.3m,,,
0.093,676.9m,,,
0.094,673.4m,,,
0.095,680.3m,,,
0.096,687.2m,,,
0.097,683.8m,,,
0.098,690.7m,,,
0.099,683.8m,,,
0.1,683.8m,,,
0.101,680.3m,,,
0.102,683.8m,,,
0.103,676.9m,,,
0.104,676.9m,,,
0.105,687.2m,,,
0.106,683.8m,,,
0.107,680.3m,,,
0.108,676.9m,,,
0.109,683.8m,,,
0.11,683.8m,,,
0.111,680.3m,,,
0.112,680.3m,,,
0.113,687.2m,,,
0.114,683.8m,,,
0.115,680.3m,,,
0.116,676.9m,,,
0.117,683.8m,,,
0.118,683.8m,,,
0.119,676.9m,,,
0.12,676.9m,,,
0.121,680.3m,,,
0.122,673.4m,,,
0.123,680.3m,,,
0.124,687.2m,,,
0.125,683.8m,,,
0.126,680.3m,,,
0.127,683.8m,,,
0.128,673.4m,,,
0.129,670m,,,
0.13,676.9m,,,
0.131,683.8m,,,
0.132,676.9m,,,
0.133,673.4m,,,
0.134,676.9m,,,
0.135,676.9m,,,
0.136,680.3m,,,
0.137,676.9m,,,
0.138,673.4m,,,
0.139,680.3m,,,
0.14,676.9m,,,
0.141,683.8m,,,
0.142,687.2m,,,
0.143,673.4m,,,
0.144,687.2m,,,
0.145,676.9m,,,
0.146,683.8m,,,
0.147,680.3m,,,
0.148,673.4m,,,
0.149,670m,,,
0.15,673.4m,,,
0.151,683.8m,,,
0.152,687.2m,,,
0.153,683.8m,,,
0.154,680.3m,,,
0.155,680.3m,,,
0.156,680.3m,,,
0.157,687.2m,,,
0.158,680.3m,,,
0.159,683.8m,,,
0.16,676.9m,,,
0.161,680.3m,,,
0.162,673.4m,,,
0.163,680.3m,,,
0.164,683.8m,,,
0.165,683.8m,,,
0.166,690.7m,,,
0.167,680.3m,,,
0.168,676.9m,,,
0.169,683.8m,,,
0.17,680.3m,,,
0.171,673.4m,,,
0.172,670m,,,
0.173,676.9m,,,
0.174,680.3m,,,
0.175,683.8m,,,
0.176,676.9m,,,
0.177,683.8m,,,
0.178,676.9m,,,
0.179,683.8m,,,
0.18,676.9m,,,
0.181,680.3m,,,
0.182,683.8m,,,
0.183,676.9m,,,
0.184,687.2m,,,
0.185,683.8m,,,
0.186,690.7m,,,
0.187,683.8m,,,
0.188,687.2m,,,
0.189,680.3m,,,
0.19,680.3m,,,
0.191,680.3m,,,
0.192,683.8m,,,
