Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,2490,N
0,1.108,,,,
0.001,1.105,,,,
0.002,1.112,,,,
0.003,1.105,,,,
0.004,1.112,,,,
0.005,1.105,,,,
0.006,1.108,,,,
0.007,1.122,,,,
0.008,1.108,,,,
0.009,1.105,,,,
0.01,1.108,,,,
0.011,1.101,,,,
0.012,1.108,,,,
0.013,1.108,,,,
0.014,1.105,,,,
0.015,1.108,,,,
0.016,1.108,,,,
0.017,1.101,,,,
0.018,1.098,,,,
0.019,1.108,,,,
0.02,1.101,,,,
0.021,1.101,,,,
0.022,1.108,,,,
0.023,1.108,,,,
0.024,1.098,,,,
0.025,1.108,,,,
0.026,1.101,,,,
0.027,1.098,,,,
0.028,1.105,,,,
0.029,1.105,,,,
0.03,1.112,,,,
0.031,1.098,,,,
0.032,1.101,,,,
0.033,1.101,,,,
0.034,1.108,,,,
0.035,1.108,,,,
0.036,1.098,,,,
0.037,1.105,,,,
0.038,1.105,,,,
0.039,1.105,,,,
0.04,1.105,,,,
0.041,1.105,,,,
0.042,1.112,,,,
0.043,1.108,,,,
0.044,1.112,,,,
0.045,1.101,,,,
0.046,1.115,,,,
0.047,1.108,,,,
0.048,1.108,,,,
0.049,1.105,,,,
0.05,1.112,,,,
0.051,1.105,,,,
0.052,1.105,,,,
0.053,1.108,,,,
0.054,1.101,,,,
0.055,1.098,,,,
0.056,1.094,,,,
0.057,1.108,,,,
0.058,1.108,,,,
0.059,1.098,,,,
0.06,1.108,,,,
0.061,1.105,,,,
0.062,1.108,,,,
0.063,1.105,,,,
0.064,1.112,,,,
0.065,1.098,,,,
0.066,1.101,,,,
0.067,1.105,,,,
0.068,1.105,,,,
0.069,1.108,,,,
0.07,1.112,,,,
0.071,1.105,,,,
0.072,1.108,,,,
0.073,1.112,,,,
0.074,1.108,,,,
0.075,1.108,,,,
0.076,1.112,,,,
0.077,1.108,,,,
0.078,1.108,,,,
0.079,1.101,,,,
0.08,1.105,,,,
0.081,1.105,,,,
0.082,1.105,,,,
0.083,1.101,,,,
0.084,1.101,,,,
0.085,1.101,,,,
0.086,1.101,,,,
0.087,1.108,,,,
0.088,1.115,,,,
0.089,1.115,,,,
0.09,1.094,,,,
0.091,1.112,,,,
0.092,1.108,,,,
0.093,1.101,,,,
0.094,1.094,,,,
0.095,1.108,,,,
0.096,1.101,,,,
0.097,1.108,,,,
0.098,1.105,,,,
0.099,1.112,,,,
0.1,1.101,,,,
0.101,1.108,,,,
0.102,1.098,,,,
0.103,1.108,,,,
0.104,1.105,,,,
0.105,1.105,,,,
0.106,1.105,,,,
0.107,1.108,,,,
0.108,1.105,,,,
0.109,1.105,,,,
0.11,1.105,,,,
0.111,1.108,,,,
0.112,1.108,,,,
0.113,1.101,,,,
0.114,1.101,,,,
0.115,1.108,,,,
0.116,1.101,,,,
0.117,1.101,,,,
0.118,1.112,,,,
0.119,1.101,,,,
0.12,1.108,,,,
0.121,1.105,,,,
0.122,1.112,,,,
0.123,1.101,,,,
0.124,1.101,,,,
0.125,1.101,,,,
0.126,1.101,,,,
0.127,1.105,,,,
0.128,1.112,,,,
0.129,1.112,,,,
0.13,1.108,,,,
0.131,1.108,,,,
0.132,1.101,,,,
0.133,1.112,,,,
0.134,1.101,,,,
0.135,1.108,,,,
0.136,1.108,,,,
0.137,1.122,,,,
0.138,1.101,,,,
0.139,1.101,,,,
0.14,1.108,,,,
0.141,1.101,,,,
0.142,1.105,,,,
0.143,1.108,,,,
0.144,1.108,,,,
0.145,1.101,,,,
0.146,1.119,,,,
0.147,1.108,,,,
0.148,1.108,,,,
0.149,1.101,,,,
0.15,1.108,,,,
0.151,1.094,,,,
0.152,1.094,,,,
0.153,1.098,,,,
0.154,1.108,,,,
0.155,1.101,,,,
0.156,1.115,,,,
0.157,1.108,,,,
0.158,1.108,,,,
0.159,1.105,,,,
0.16,1.105,,,,
0.161,1.105,,,,
0.162,1.112,,,,
0.163,1.112,,,,
0.164,1.101,,,,
0.165,1.108,,,,
0.166,1.101,,,,
0.167,1.105,,,,
0.168,1.108,,,,
0.169,1.098,,,,
0.17,1.108,,,,
0.171,1.098,,,,
0.172,1.101,,,,
0.173,1.108,,,,
0.174,1.112,,,,
0.175,1.108,,,,
0.176,1.108,,,,
0.177,1.105,,,,
0.178,1.091,,,,
0.179,1.105,,,,
0.18,1.094,,,,
0.181,1.108,,,,
0.182,1.108,,,,
0.183,1.108,,,,
0.184,1.108,,,,
0.185,1.105,,,,
0.186,1.101,,,,
0.187,1.105,,,,
0.188,1.112,,,,
0.189,1.101,,,,
0.19,1.108,,,,
0.191,1.101,,,,
0.192,1.105,,,,
0.193,1.101,,,,
0.194,1.108,,,,
0.195,1.115,,,,
0.196,1.112,,,,
0.197,1.101,,,,
0.198,1.098,,,,
0.199,1.094,,,,
0.2,1.108,,,,
0.201,1.105,,,,
0.202,1.119,,,,
0.203,1.105,,,,
0.204,1.108,,,,
0.205,1.098,,,,
0.206,1.105,,,,
0.207,1.105,,,,
0.208,1.115,,,,
0.209,1.105,,,,
0.21,1.112,,,,
0.211,1.098,,,,
0.212,1.112,,,,
0.213,1.108,,,,
0.214,1.105,,,,
0.215,1.108,,,,
0.216,1.101,,,,
0.217,1.112,,,,
0.218,1.112,,,,
0.219,1.108,,,,
0.22,1.105,,,,
0.221,1.112,,,,
0.222,1.112,,,,
0.223,1.108,,,,
0.224,1.112,,,,
0.225,1.101,,,,
0.226,1.101,,,,
0.227,1.098,,,,
0.228,1.105,,,,
0.229,1.105,,,,
0.23,1.112,,,,
0.231,1.119,,,,
0.232,1.105,,,,
0.233,1.105,,,,
0.234,1.108,,,,
0.235,1.101,,,,
0.236,1.115,,,,
0.237,1.108,,,,
0.238,1.101,,,,
0.239,1.108,,,,
0.24,1.105,,,,
0.241,1.105,,,,
0.242,1.101,,,,
0.243,1.108,,,,
0.244,1.101,,,,
0.245,1.105,,,,
0.246,1.101,,,,
0.247,1.115,,,,
0.248,1.101,,,,
0.249,1.101,,,,
0.25,1.101,,,,
0.251,1.101,,,,
0.252,1.112,,,,
0.253,1.112,,,,
0.254,1.101,,,,
0.255,1.108,,,,
0.256,1.112,,,,
0.257,1.108,,,,
0.258,1.098,,,,
0.259,1.105,,,,
0.26,1.105,,,,
0.261,1.108,,,,
0.262,1.105,,,,
0.263,1.115,,,,
0.264,1.105,,,,
0.265,1.115,,,,
0.266,1.108,,,,
0.267,1.105,,,,
0.268,1.115,,,,
0.269,1.115,,,,
0.27,1.108,,,,
0.271,1.108,,,,
0.272,1.105,,,,
0.273,1.112,,,,
0.274,1.115,,,,
0.275,1.108,,,,
0.276,1.098,,,,
0.277,1.108,,,,
0.278,1.101,,,,
0.279,1.108,,,,
0.28,1.115,,,,
0.281,1.101,,,,
0.282,1.115,,,,
0.283,1.108,,,,
0.284,1.105,,,,
0.285,1.115,,,,
0.286,1.105,,,,
0.287,1.108,,,,
0.288,1.108,,,,
0.289,1.115,,,,
0.29,1.101,,,,
0.291,1.108,,,,
0.292,1.119,,,,
0.293,1.112,,,,
0.294,1.105,,,,
0.295,1.108,,,,
0.296,1.098,,,,
0.297,1.108,,,,
0.298,1.112,,,,
0.299,1.105,,,,
0.3,1.105,,,,
0.301,1.101,,,,
0.302,1.105,,,,
0.303,1.112,,,,
0.304,1.105,,,,
0.305,1.101,,,,
0.306,1.112,,,,
0.307,1.122,,,,
0.308,1.108,,,,
0.309,1.105,,,,
0.31,1.108,,,,
0.311,1.101,,,,
0.312,1.112,,,,
0.313,1.108,,,,
0.314,1.098,,,,
0.315,1.112,,,,
0.316,1.094,,,,
0.317,1.101,,,,
0.318,1.105,,,,
0.319,1.101,,,,
0.32,1.105,,,,
0.321,1.105,,,,
0.322,1.101,,,,
0.323,1.105,,,,
0.324,1.115,,,,
0.325,1.101,,,,
0.326,1.098,,,,
0.327,1.108,,,,
0.328,1.101,,,,
0.329,1.105,,,,
0.33,1.115,,,,
0.331,1.105,,,,
0.332,1.108,,,,
0.333,1.108,,,,
0.334,1.105,,,,
0.335,1.119,,,,
0.336,1.108,,,,
0.337,1.115,,,,
0.338,1.115,,,,
0.339,1.112,,,,
0.34,1.098,,,,
0.341,1.112,,,,
0.342,1.112,,,,
0.343,1.108,,,,
0.344,1.101,,,,
0.345,1.115,,,,
0.346,1.101,,,,
0.347,1.115,,,,
0.348,1.101,,,,
0.349,1.101,,,,
0.35,1.105,,,,
0.351,1.119,,,,
0.352,1.108,,,,
0.353,1.101,,,,
0.354,1.105,,,,
0.355,1.101,,,,
